id,rarity,cumulative_times_ssr,aptitude_num,probability,profession_id,profession_name,talent_group
v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number
抽取id,资质稀有度（1-普通奖励，2-优异，3-稀有，4-超稀有）,ssr次数-用户酒吧累计抽取次数-不清零，在达到这个指定次数时，优先从这个配置中随机一个奖励下发到酒吧一个格子,资质数值,获得权重,职业ID,职业名称,天赋库随机组ID
10000,4,318,42,10,10001,战士,103
10001,4,318,43,9,10001,战士,103
10002,4,318,44,8,10001,战士,103
10003,4,318,44,7,10001,战士,103
10004,4,318,45,6,10001,战士,103
10005,4,318,46,5,10001,战士,103
10006,4,318,47,4,10001,战士,103
10007,4,318,48,3,10001,战士,103
10008,4,318,49,2,10001,战士,103
10009,4,318,50,1,10001,战士,103
10010,4,318,42,10,20001,猎人,203
10011,4,318,43,9,20001,猎人,203
10012,4,318,44,8,20001,猎人,203
10013,4,318,44,7,20001,猎人,203
10014,4,318,45,6,20001,猎人,203
10015,4,318,46,5,20001,猎人,203
10016,4,318,47,4,20001,猎人,203
10017,4,318,48,3,20001,猎人,203
10018,4,318,49,2,20001,猎人,203
10019,4,318,50,1,20001,猎人,203
10020,4,318,42,10,30001,学者,303
10021,4,318,43,9,30001,学者,303
10022,4,318,44,8,30001,学者,303
10023,4,318,44,7,30001,学者,303
10024,4,318,45,6,30001,学者,303
10025,4,318,46,5,30001,学者,303
10026,4,318,47,4,30001,学者,303
10027,4,318,48,3,30001,学者,303
10028,4,318,49,2,30001,学者,303
10029,4,318,50,1,30001,学者,303
10030,4,826,42,10,10001,战士,103
10031,4,826,43,9,10001,战士,103
10032,4,826,44,8,10001,战士,103
10033,4,826,44,7,10001,战士,103
10034,4,826,45,6,10001,战士,103
10035,4,826,46,5,10001,战士,103
10036,4,826,47,4,10001,战士,103
10037,4,826,48,3,10001,战士,103
10038,4,826,49,2,10001,战士,103
10039,4,826,50,1,10001,战士,103
10040,4,826,42,10,20001,猎人,203
10041,4,826,43,9,20001,猎人,203
10042,4,826,44,8,20001,猎人,203
10043,4,826,44,7,20001,猎人,203
10044,4,826,45,6,20001,猎人,203
10045,4,826,46,5,20001,猎人,203
10046,4,826,47,4,20001,猎人,203
10047,4,826,48,3,20001,猎人,203
10048,4,826,49,2,20001,猎人,203
10049,4,826,50,1,20001,猎人,203
10050,4,826,42,10,30001,学者,303
10051,4,826,43,9,30001,学者,303
10052,4,826,44,8,30001,学者,303
10053,4,826,44,7,30001,学者,303
10054,4,826,45,6,30001,学者,303
10055,4,826,46,5,30001,学者,303
10056,4,826,47,4,30001,学者,303
10057,4,826,48,3,30001,学者,303
10058,4,826,49,2,30001,学者,303
10059,4,826,50,1,30001,学者,303
10060,4,1528,42,10,10001,战士,103
10061,4,1528,43,9,10001,战士,103
10062,4,1528,44,8,10001,战士,103
10063,4,1528,44,7,10001,战士,103
10064,4,1528,45,6,10001,战士,103
10065,4,1528,46,5,10001,战士,103
10066,4,1528,47,4,10001,战士,103
10067,4,1528,48,3,10001,战士,103
10068,4,1528,49,2,10001,战士,103
10069,4,1528,50,1,10001,战士,103
10070,4,1528,42,10,20001,猎人,203
10071,4,1528,43,9,20001,猎人,203
10072,4,1528,44,8,20001,猎人,203
10073,4,1528,44,7,20001,猎人,203
10074,4,1528,45,6,20001,猎人,203
10075,4,1528,46,5,20001,猎人,203
10076,4,1528,47,4,20001,猎人,203
10077,4,1528,48,3,20001,猎人,203
10078,4,1528,49,2,20001,猎人,203
10079,4,1528,50,1,20001,猎人,203
10080,4,1528,42,10,30001,学者,303
10081,4,1528,43,9,30001,学者,303
10082,4,1528,44,8,30001,学者,303
10083,4,1528,44,7,30001,学者,303
10084,4,1528,45,6,30001,学者,303
10085,4,1528,46,5,30001,学者,303
10086,4,1528,47,4,30001,学者,303
10087,4,1528,48,3,30001,学者,303
10088,4,1528,49,2,30001,学者,303
10089,4,1528,50,1,30001,学者,303
10090,4,2546,42,10,10001,战士,103
10091,4,2546,43,9,10001,战士,103
10092,4,2546,44,8,10001,战士,103
10093,4,2546,44,7,10001,战士,103
10094,4,2546,45,6,10001,战士,103
10095,4,2546,46,5,10001,战士,103
10096,4,2546,47,4,10001,战士,103
10097,4,2546,48,3,10001,战士,103
10098,4,2546,49,2,10001,战士,103
10099,4,2546,50,1,10001,战士,103
10100,4,2546,42,10,20001,猎人,203
10101,4,2546,43,9,20001,猎人,203
10102,4,2546,44,8,20001,猎人,203
10103,4,2546,44,7,20001,猎人,203
10104,4,2546,45,6,20001,猎人,203
10105,4,2546,46,5,20001,猎人,203
10106,4,2546,47,4,20001,猎人,203
10107,4,2546,48,3,20001,猎人,203
10108,4,2546,49,2,20001,猎人,203
10109,4,2546,50,1,20001,猎人,203
10110,4,2546,42,10,30001,学者,303
10111,4,2546,43,9,30001,学者,303
10112,4,2546,44,8,30001,学者,303
10113,4,2546,44,7,30001,学者,303
10114,4,2546,45,6,30001,学者,303
10115,4,2546,46,5,30001,学者,303
10116,4,2546,47,4,30001,学者,303
10117,4,2546,48,3,30001,学者,303
10118,4,2546,49,2,30001,学者,303
10119,4,2546,50,1,30001,学者,303
10120,4,3068,42,10,10001,战士,103
10121,4,3068,43,9,10001,战士,103
10122,4,3068,44,8,10001,战士,103
10123,4,3068,44,7,10001,战士,103
10124,4,3068,45,6,10001,战士,103
10125,4,3068,46,5,10001,战士,103
10126,4,3068,47,4,10001,战士,103
10127,4,3068,48,3,10001,战士,103
10128,4,3068,49,2,10001,战士,103
10129,4,3068,50,1,10001,战士,103
10130,4,3068,42,10,20001,猎人,203
10131,4,3068,43,9,20001,猎人,203
10132,4,3068,44,8,20001,猎人,203
10133,4,3068,44,7,20001,猎人,203
10134,4,3068,45,6,20001,猎人,203
10135,4,3068,46,5,20001,猎人,203
10136,4,3068,47,4,20001,猎人,203
10137,4,3068,48,3,20001,猎人,203
10138,4,3068,49,2,20001,猎人,203
10139,4,3068,50,1,20001,猎人,203
10140,4,3068,42,10,30001,学者,303
10141,4,3068,43,9,30001,学者,303
10142,4,3068,44,8,30001,学者,303
10143,4,3068,44,7,30001,学者,303
10144,4,3068,45,6,30001,学者,303
10145,4,3068,46,5,30001,学者,303
10146,4,3068,47,4,30001,学者,303
10147,4,3068,48,3,30001,学者,303
10148,4,3068,49,2,30001,学者,303
10149,4,3068,50,1,30001,学者,303
10150,4,3823,42,10,10001,战士,103
10151,4,3823,43,9,10001,战士,103
10152,4,3823,44,8,10001,战士,103
10153,4,3823,44,7,10001,战士,103
10154,4,3823,45,6,10001,战士,103
10155,4,3823,46,5,10001,战士,103
10156,4,3823,47,4,10001,战士,103
10157,4,3823,48,3,10001,战士,103
10158,4,3823,49,2,10001,战士,103
10159,4,3823,50,1,10001,战士,103
10160,4,3823,42,10,20001,猎人,203
10161,4,3823,43,9,20001,猎人,203
10162,4,3823,44,8,20001,猎人,203
10163,4,3823,44,7,20001,猎人,203
10164,4,3823,45,6,20001,猎人,203
10165,4,3823,46,5,20001,猎人,203
10166,4,3823,47,4,20001,猎人,203
10167,4,3823,48,3,20001,猎人,203
10168,4,3823,49,2,20001,猎人,203
10169,4,3823,50,1,20001,猎人,203
10170,4,3823,42,10,30001,学者,303
10171,4,3823,43,9,30001,学者,303
10172,4,3823,44,8,30001,学者,303
10173,4,3823,44,7,30001,学者,303
10174,4,3823,45,6,30001,学者,303
10175,4,3823,46,5,30001,学者,303
10176,4,3823,47,4,30001,学者,303
10177,4,3823,48,3,30001,学者,303
10178,4,3823,49,2,30001,学者,303
10179,4,3823,50,1,30001,学者,303
10180,4,4825,42,10,10001,战士,103
10181,4,4825,43,9,10001,战士,103
10182,4,4825,44,8,10001,战士,103
10183,4,4825,44,7,10001,战士,103
10184,4,4825,45,6,10001,战士,103
10185,4,4825,46,5,10001,战士,103
10186,4,4825,47,4,10001,战士,103
10187,4,4825,48,3,10001,战士,103
10188,4,4825,49,2,10001,战士,103
10189,4,4825,50,1,10001,战士,103
10190,4,4825,42,10,20001,猎人,203
10191,4,4825,43,9,20001,猎人,203
10192,4,4825,44,8,20001,猎人,203
10193,4,4825,44,7,20001,猎人,203
10194,4,4825,45,6,20001,猎人,203
10195,4,4825,46,5,20001,猎人,203
10196,4,4825,47,4,20001,猎人,203
10197,4,4825,48,3,20001,猎人,203
10198,4,4825,49,2,20001,猎人,203
10199,4,4825,50,1,20001,猎人,203
10200,4,4825,42,10,30001,学者,303
10201,4,4825,43,9,30001,学者,303
10202,4,4825,44,8,30001,学者,303
10203,4,4825,44,7,30001,学者,303
10204,4,4825,45,6,30001,学者,303
10205,4,4825,46,5,30001,学者,303
10206,4,4825,47,4,30001,学者,303
10207,4,4825,48,3,30001,学者,303
10208,4,4825,49,2,30001,学者,303
10209,4,4825,50,1,30001,学者,303
10210,4,5575,42,10,10001,战士,103
10211,4,5575,43,9,10001,战士,103
10212,4,5575,44,8,10001,战士,103
10213,4,5575,44,7,10001,战士,103
10214,4,5575,45,6,10001,战士,103
10215,4,5575,46,5,10001,战士,103
10216,4,5575,47,4,10001,战士,103
10217,4,5575,48,3,10001,战士,103
10218,4,5575,49,2,10001,战士,103
10219,4,5575,50,1,10001,战士,103
10220,4,5575,42,10,20001,猎人,203
10221,4,5575,43,9,20001,猎人,203
10222,4,5575,44,8,20001,猎人,203
10223,4,5575,44,7,20001,猎人,203
10224,4,5575,45,6,20001,猎人,203
10225,4,5575,46,5,20001,猎人,203
10226,4,5575,47,4,20001,猎人,203
10227,4,5575,48,3,20001,猎人,203
10228,4,5575,49,2,20001,猎人,203
10229,4,5575,50,1,20001,猎人,203
10230,4,5575,42,10,30001,学者,303
10231,4,5575,43,9,30001,学者,303
10232,4,5575,44,8,30001,学者,303
10233,4,5575,44,7,30001,学者,303
10234,4,5575,45,6,30001,学者,303
