id,type,level,txt,title,pic_1,pic_2,active_txt,active_type
v:number,v:number,v:number,v:string,v:string,v:number,v:number,v:string,v:number
id,类型（1-特权说明 2-特权进程icon  3-特权说明）,特权等级,文字说明,特权标题,图集,图片,已激活状态文字（购买特权完成后显示的内容，若没有则不改变）,类型
10001,1,,可使用新币修理装备,,mallItem_atlas,130400,装备修理费用-{0}%,2
10002,1,,额外特权奖励,,mallItem_atlas,tequan_ewjl,,3
10003,1,,每日活跃神秘任务开放,,mallItem_atlas,zhuejiemian_renwu,,7
10004,1,,冒险收益增加,,mallItem_atlas,tanxian_tubiao,,4
10005,1,,幸运转盘费用-10%,,mallItem_atlas,zhuejiemian_zhuanpan,,9
20001,2,,,,mallItem_atlas,zhuangshi_shixiang,,
20002,2,,,,mallItem_atlas,shangcheng_jinzhuan5,,
20003,2,,,,mallItem_atlas,zhuangshi2_tianxian,,
20004,2,,,,mallItem_atlas,zhuangshi3_zy,,
20005,2,,,,mallItem_atlas,renwu_jia1,,
20006,2,,,,mallItem_atlas,xiuli_50,,
30001,3,1,初级资源产量+5%，免看广告领取奖励,神秘石像,mallItem_atlas,zhuangshi_shixiang,,
30002,3,2,装备修理费用-10%,修理折扣,mallItem_atlas,130400,,
30003,3,3,装备修理费用-15%,修理折扣,mallItem_atlas,130400,,
30004,3,4,提升招募英雄高品质英雄刷新概率,无线电接收器,mallItem_atlas,zhuangshi2_tianxian,,
30005,3,5,装备修理费用-20%,修理折扣,mallItem_atlas,130400,,
30006,3,6,装备修理费用-25%,修理折扣,mallItem_atlas,130400,,
30007,3,7,所有装备出售价格+2%,沙滩座椅,mallItem_atlas,zhuangshi3_zy,,
30008,3,8,探索就绪后英雄自动恢复,自动恢复,mallItem_atlas,tanxian_tubiao,,
30009,3,9,装备修理费用-35%,修理折扣,mallItem_atlas,130400,,
30010,3,10,装备修理费用-40%,修理折扣,mallItem_atlas,130400,,
30011,3,11,装备修理费用-45%,修理折扣,mallItem_atlas,130400,,
30012,3,12,装备修理费用-50%,修理折扣,mallItem_atlas,130400,,
30013,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30014,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30015,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30016,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30017,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30018,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30019,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30020,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30021,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30022,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30023,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30024,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30025,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30026,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30027,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30028,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30029,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30030,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30031,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30032,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30033,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30034,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30035,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30036,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30037,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30038,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30039,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30040,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30041,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30042,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30043,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30044,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30045,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30046,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30047,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30048,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30049,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30050,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30051,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30052,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30053,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30054,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30055,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30056,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30057,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30058,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30059,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30060,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30061,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30062,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30063,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30064,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30065,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30066,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30067,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30068,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30069,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30070,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30071,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30072,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30073,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30074,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30075,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30076,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30077,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30078,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30079,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30080,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30081,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30082,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30083,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30084,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30085,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30086,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30087,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30088,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30089,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30090,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30091,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30092,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30093,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30094,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30095,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30096,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30097,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30098,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30099,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
30100,3,13,您已经获取所有特权,特权达人,mallItem_atlas,shangcheng_tequan,,
