languages_game,languages_CN,languages_TC,languages_EN
游戏内语言,简体中文,繁体中文,英文
索引所需要的key,翻译后的简体,翻译后的繁体,翻译后的英文
店主升级可领取累计<color=#9af046>16000</color>金条,店主升级可领取累计<color=#9af046>15600</color>金条,店主升級可領取累計<color=#9af046>15600</color>金條,To upgrade shopkeeper can receive accumulated <color=#9af046>15600</color> gold bars
概率公示_英雄抽奖_描述3,若未招募到SR英雄，累计第50次将直接刷出SR英雄，刷到SR英雄后，累计次数清零，每次招募会随机获得天赋。,若未招募到SR英雄，累計第50次將直接刷出SR英雄，刷到SR英雄後，累計次數清零，每次招募會隨機獲得天賦。,If no SR heroes after 49 consecutive refreshes， you will refreash a SR hero for the 50th time， and the number of cumulative refresh times will be reset
副本探索可以获得宝箱,副本探索、市场、商城可以获得宝箱！,副本探索、市場、商城可以獲得寶箱！,Treasure chests can be obtained from dungeon exploration， market， and mall.
与全球玩家组建商会联盟，一起在废土里打造你们的最强联盟！,与全服玩家组建商会联盟，一起在废土里打造你们的最强联盟！,與全服玩家組建商會聯盟，一起在廢土裏打造你們的最強聯盟！,Form the best guild with global players!
累计签到：,已累计签到：,已累計簽到：,Cumulative check-in:
进行{1}次任意科技研究投资,在城外工匠之家进行{1}次任意工匠研究投资,在城外工匠之家進行{1}次任意工匠研究投資,Invest {1} time(s) in any tech
完成{1}次任意建筑投资,在城外完成{1}次任意建筑投资,在城外完成{1}次任意建築投資,Invest in any Building {1} time(s)
队伍中3名战士护甲+{0}%(可叠加),队伍中所有武士护甲+{0}%（≥3名武士可生效）,隊伍中所有武士護甲+{0}%（≥3名武士可生效）,3 warriors in team Armor +{0}%
队伍中3名猎人闪避+{0}%(可叠加),队伍中所有猎人闪避+{0}%（≥3名猎人可生效）,隊伍中所有獵人閃避+{0}%（≥3名獵人可生效）,3 hunters in team Dodge +{0}%
队伍中3名学者攻击+{0}%(可叠加),队伍中所有学者攻击+{0}%（≥3名学者可生效）,隊伍中所有學者攻擊+{0}%（≥3名學者可生效）,3 scholars in team Attack +{0}%
会长离线时间超过{0}小时方可弹劾,会长离线时间超过{0}小时方可弹劾,會長離線時間超過{0}小時方可彈劾,會長離線時間超過{0}小時方可彈劾
会长已被弹劾！,会长已被弹劾！,會長已被彈劾！,會長已被彈劾！
弹劾成功！您已成为会长！,弹劾成功！您已成为会长！,彈劾成功！您已成為會長！,彈劾成功！您已成為會長！
刷新推荐,刷新推荐,刷新推薦,刷新推薦
弹劾会长,弹劾会长,彈劾會長,彈劾會長
新悬赏可用！,新悬赏可用！,新懸賞可用！,新懸賞可用！
新任务可用！,新任务可用！,新任務可用！,新任務可用！
已精通,已精通,已精通,已精通
资源已达上限，无法继续补充,资源已达上限，无法继续补充,資源已達上限，無法繼續補充,資源已達上限，無法繼續補充
已经达到等级上限，请去科学院升级指挥科技！,已经达到等级上限，请去工匠之家升级指挥科技！,已經達到等級上限，請去工匠之家升級指揮科技！,Already reached max level， please upgrade command tech in Academy!
科学院,工匠之家,工匠之家,Academy
科学院的科研小组成立的铸造工艺研究项目,工匠之家的科研小组成立的铸造工艺研究项目,工匠之家的科研小組成立的鑄造工藝研究項目,Casting project established by study group of Science Academy
科学院的科研小组成立的木材工艺研究项目,工匠之家的科研小组成立的木材工艺研究项目,工匠之家的科研小組成立的木材工藝研究項目,Wood project established by study group of Science Academy
科学院的科研小组成立的服装工艺研究项目,工匠之家的科研小组成立的服装工艺研究项目,工匠之家的科研小組成立的服裝工藝研究項目,Tailor project established by study group of Science Academy
科学院的科研小组成立的手工工艺研究项目,工匠之家的科研小组成立的手工工艺研究项目,工匠之家的科研小組成立的手工工藝研究項目,Handcraft project established by study group of Science Academy
科学院的科研小组成立的化学工艺研究项目,工匠之家的科研小组成立的化学工艺研究项目,工匠之家的科研小組成立的化學工藝研究項目,Chemistry project established by study group of Science Academy
科学院的科研小组成立的枪械工艺研究项目,工匠之家的科研小组成立的枪械工艺研究项目,工匠之家的科研小組成立的槍械工藝研究項目,Firearms project established by study group of Science Academy
科学院的科研小组成立的工程工艺研究项目,工匠之家的科研小组成立的工程工艺研究项目,工匠之家的科研小組成立的工程工藝研究項目,Engineering project established by study group of Science Academy
科学院的科研小组成立的精密工艺研究项目,工匠之家的科研小组成立的精密工艺研究项目,工匠之家的科研小組成立的精密工藝研究項目,Precision project established by study group of Science Academy
科学院的科研小组成立的艺术工艺研究项目,工匠之家的科研小组成立的艺术工艺研究项目,工匠之家的科研小組成立的藝術工藝研究項目,Art project established by study group of Science Academy
