id,name,quality,level,extraordinary_equip_id,equip_id,dressId,exp,price_gold,purchase_price,auction_price,price_diamond,hp_basic,atk_basic,def_basic,spd_basic,acc_basic,dodge_basic,cri_basic,tough_basic,piercing_dmg,burn_dmg,ment_dmg,electricity_dmg,radiation_dmg,piercing_res,burn_res,ment_res,electricity_res,radiation_res,artisan_exp,discount_energy,double_energy,recommend_energy,probability_make,improve_quality_diamond,talk_success_energy,talk_failure_energy,fixGem
v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
品质等级ID,装备品质等级名称,品质,等级,对应超凡装备ID,所属装备ID,dress表id,售出经验,售价,NPC售卖价格,拍卖行底价（金币）,拍卖行底价(钻石),基础生命,基础攻击,基础护甲,基础速度,基础命中,基础闪避,基础暴击,基础韧性,穿刺伤害,燃烧伤害,精神伤害,电击伤害,辐射伤害,穿刺抗性,燃烧抗性,精神抗性,电击抗性,辐射抗性,制作员工经验增加,打折能量,加倍能量,建议能量,制作获得概率,升级品质消耗钻石,闲聊成功奖励能量百分比,闲聊失败扣除能量百分比,修复花费金条
1011,砍刀,1,1,10001011,1010,201010,135,50,25,50,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,9,5,8750,12,2,1,10
1012,优秀砍刀,2,1,10001012,1010,201010,135,65,33,65,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,9,5,900,13,2,1,10
1013,无暇砍刀,3,1,10001013,1010,201010,135,100,50,100,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,9,5,300,26,2,1,10
1014,史诗砍刀,4,1,10001014,1010,201010,135,150,75,150,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,9,5,40,52,2,1,10
1015,传奇砍刀,5,1,10001015,1010,201010,135,250,125,250,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,9,5,10,65,2,1,10
1021,拳刺,1,2,10001021,1020,201020,455,175,88,175,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,18,5,8862,24,2,1,10
1022,优秀拳刺,2,2,10001022,1020,201020,455,228,114,228,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,18,5,850,26,2,1,10
1023,无暇拳刺,3,2,10001023,1020,201020,455,350,175,350,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,18,5,250,52,2,1,10
1024,史诗拳刺,4,2,10001024,1020,201020,455,525,263,525,2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,18,5,30,104,2,1,11
1025,传奇拳刺,5,2,10001025,1020,201020,455,875,438,875,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,18,5,8,130,2,1,18
1031,铁斧,1,3,10001031,1030,201030,1200,670,335,670,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,45,10,9053,39,2,1,10
1032,优秀铁斧,2,3,10001032,1030,201030,1200,871,436,871,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,45,10,800,42,2,1,10
1033,无暇铁斧,3,3,10001033,1030,201030,1200,1340,670,1340,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,45,10,125,84,2,1,12
1034,史诗铁斧,4,3,10001034,1030,201030,1200,2010,1005,2010,2,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,45,10,18,168,2,1,18
1035,传奇铁斧,5,3,10001035,1030,201030,1200,3350,1675,3350,2,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,45,10,4,210,2,1,29
1051,消防斧,1,4,10001051,1050,201050,3100,2050,1025,2050,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,80,15,9053,65,2,1,10
1052,优秀消防斧,2,4,10001052,1050,201050,3100,2665,1333,2665,2,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,80,15,800,70,2,1,12
1053,无暇消防斧,3,4,10001053,1050,201050,3100,4100,2050,4100,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,80,15,125,140,2,1,20
1054,史诗消防斧,4,4,10001054,1050,201050,3100,6150,3075,6150,2,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,80,15,18,280,2,1,29
1055,传奇消防斧,5,4,10001055,1050,201050,3100,10250,5125,10250,2,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,80,15,4,350,2,1,49
1061,钢斧,1,5,10001061,1060,201060,7300,5900,2950,5900,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,130,25,9053,107,2,1,16
1062,优秀钢斧,2,5,10001062,1060,201060,7300,7670,3835,7670,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,130,25,800,115,2,1,20
1063,无暇钢斧,3,5,10001063,1060,201060,7300,11800,5900,11800,2,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,130,25,125,230,2,1,32
1064,史诗钢斧,4,5,10001064,1060,201060,7300,17700,8850,17700,2,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,130,25,18,460,2,1,48
1065,传奇钢斧,5,5,10001065,1060,201060,7300,29500,14750,29500,2,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,130,25,4,575,2,1,81
1071,合金斧,1,6,10001071,1070,201070,13500,24000,12000,24000,2,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115,255,50,9053,150,2,1,22
1072,优秀合金斧,2,6,10001072,1070,201070,13500,31200,15600,31200,2,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115,255,50,800,160,2,1,28
1073,无暇合金斧,3,6,10001073,1070,201070,13500,48000,24000,48000,2,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115,255,50,125,320,2,1,45
1074,史诗合金斧,4,6,10001074,1070,201070,13500,72000,36000,72000,2,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115,255,50,18,640,2,1,67
1075,传奇合金斧,5,6,10001075,1070,201070,13500,120000,60000,120000,2,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115,255,50,4,800,2,1,112
1081,锯齿刀,1,7,10001081,1080,201080,22000,64500,32250,64500,2,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,180,405,80,9053,195,2,1,29
1082,优秀锯齿刀,2,7,10001082,1080,201080,22000,83850,41925,83850,2,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,180,405,80,800,208,2,1,36
1083,无暇锯齿刀,3,7,10001083,1080,201080,22000,129000,64500,129000,2,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,180,405,80,125,416,2,1,58
1084,史诗锯齿刀,4,7,10001084,1080,201080,22000,193500,96750,193500,2,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,180,405,80,18,832,2,1,87
1085,传奇锯齿刀,5,7,10001085,1080,201080,22000,322500,161250,322500,2,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,180,405,80,4,1040,2,1,146
1091,斩马刀,1,8,10001091,1090,201090,32500,195000,97500,195000,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,310,690,140,9053,255,2,1,38
1092,优秀斩马刀,2,8,10001092,1090,201090,32500,253500,126750,253500,2,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,310,690,140,800,272,2,1,48
1093,无暇斩马刀,3,8,10001093,1090,201090,32500,390000,195000,390000,2,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,310,690,140,125,544,2,1,76
1094,史诗斩马刀,4,8,10001094,1090,201090,32500,585000,292500,585000,2,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,310,690,140,18,1088,2,1,114
1095,传奇斩马刀,5,8,10001095,1090,201090,32500,975000,487500,975000,2,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,310,690,140,4,1360,2,1,190
1121,长刀,1,9,10001121,1120,201120,45500,300000,150000,300000,2,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,385,850,170,9053,307,2,1,46
1122,优秀长刀,2,9,10001122,1120,201120,45500,390000,195000,390000,2,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,385,850,170,800,328,2,1,57
1123,无暇长刀,3,9,10001123,1120,201120,45500,600000,300000,600000,2,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,385,850,170,125,656,2,1,92
1124,史诗长刀,4,9,10001124,1120,201120,45500,900000,450000,900000,2,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,385,850,170,18,1312,2,1,138
1125,传奇长刀,5,9,10001125,1120,201120,45500,1500000,750000,1500000,2,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,385,850,170,4,1640,2,1,230
1131,双刃战斧,1,10,10001131,1130,,53000,605000,302500,605000,2,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,805,1790,360,9053,337,2,1,50
1132,优秀双刃战斧,2,10,10001132,1130,,53000,786500,393250,786500,2,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,805,1790,360,800,360,2,1,63
1133,无暇双刃战斧,3,10,10001133,1130,,53000,1210000,605000,1210000,2,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,805,1790,360,125,720,2,1,101
1134,史诗双刃战斧,4,10,10001134,1130,,53000,1815000,907500,1815000,2,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,805,1790,360,18,1440,2,1,151
1135,传奇双刃战斧,5,10,10001135,1130,,53000,3025000,1512500,3025000,2,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,805,1790,360,4,1800,2,1,252
1041,反曲刀,1,3,10001041,1040,201040,3400,1050,525,1050,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,55,10,9053,43,2,1,10
1042,优秀反曲刀,2,3,10001042,1040,201040,3400,1365,683,1365,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,55,10,800,46,2,1,10
1043,无暇反曲刀,3,3,10001043,1040,201040,3400,2100,1050,2100,2,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,55,10,125,92,2,1,13
1044,史诗反曲刀,4,3,10001044,1040,201040,3400,3150,1575,3150,2,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,55,10,18,184,2,1,19
1045,传奇反曲刀,5,3,10001045,1040,201040,3400,5250,2625,5250,2,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,55,10,4,230,2,1,32
1101,铝合金斧,1,8,10001101,1100,,62500,220000,110000,220000,2,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,735,145,9053,280,2,1,42
1102,优秀铝合金斧,2,8,10001102,1100,,62500,286000,143000,286000,2,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,735,145,800,299,2,1,52
1103,无暇铝合金斧,3,8,10001103,1100,,62500,440000,220000,440000,2,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,735,145,125,598,2,1,84
1104,史诗铝合金斧,4,8,10001104,1100,,62500,660000,330000,660000,2,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,735,145,18,1196,2,1,126
1105,传奇铝合金斧,5,8,10001105,1100,,62500,1100000,550000,1100000,2,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,735,145,4,1495,2,1,209
1111,钛合金斧,1,8,10001111,1110,201110,39000,365000,182500,365000,2,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,420,935,185,9053,280,2,1,42
1112,优秀钛合金斧,2,8,10001112,1110,201110,39000,474500,237250,474500,2,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,420,935,185,800,299,2,1,52
1113,无暇钛合金斧,3,8,10001113,1110,201110,39000,730000,365000,730000,2,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,420,935,185,125,598,2,1,84
1114,史诗钛合金斧,4,8,10001114,1110,201110,39000,1095000,547500,1095000,2,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,420,935,185,18,1196,2,1,126
1115,传奇钛合金斧,5,8,10001115,1110,201110,39000,1825000,912500,1825000,2,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,420,935,185,4,1495,2,1,209
1141,切割之刃,1,10,10001141,1140,,96500,630000,315000,630000,2,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,820,1825,365,9053,371,2,1,55
1142,优秀切割之刃,2,10,10001142,1140,,96500,819000,409500,819000,2,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,820,1825,365,800,396,2,1,69
1143,无暇切割之刃,3,10,10001143,1140,,96500,1260000,630000,1260000,2,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,820,1825,365,125,792,2,1,111
