number,n,r,sr,ssr,,,,,,,,,,,,,,,,,,,,,
v:number,v:number,v:number,v:number,v:number,,,,,,,,,,,,,,,,,,,,,
抽取次数,绿色资质概率（%）,蓝色资质概率（%）,紫色资质概率（%）,橙色资质概率（%）,,,,,,,,,,,,,,,,,,,,,
1,100,40,3.00102764621723,0.600000008929395,,,,,,,,,,,,,,,,,,,,,
2,,,3.00154146932585,0.600000011608214,,,,,,,,,,,,,,,,,,,,,
3,,,3.00231220398878,0.600000015090678,,,,,,,,,,,,,,,,,,,,,
4,,,3.00346830598317,0.600000019617881,,,,,,,,,,,,,,,,,,,,,
5,,,3.00520245897475,0.600000025503246,,,,,,,,,,,,,,,,,,,,,
6,,,3.00780368846212,0.60000003315422,,,,,,,,,,,,,,,,,,,,,
7,,,3.01170553269319,0.600000043100485,,,,,,,,,,,,,,,,,,,,,
8,,,3.01755829903978,0.600000056030631,,,,,,,,,,,,,,,,,,,,,
9,,,3.02633744855967,0.60000007283982,,,,,,,,,,,,,,,,,,,,,
10,,,3.03950617283951,0.600000094691766,,,,,,,,,,,,,,,,,,,,,
11,,,3.05925925925926,0.600000123099296,,,,,,,,,,,,,,,,,,,,,
12,,,3.08888888888889,0.600000160029085,,,,,,,,,,,,,,,,,,,,,
13,,,3.13333333333333,0.600000208037811,,,,,,,,,,,,,,,,,,,,,
14,,,3.2,0.600000270449154,,,,,,,,,,,,,,,,,,,,,
15,,,3.3,0.6000003515839,,,,,,,,,,,,,,,,,,,,,
16,,,3.45,0.60000045705907,,,,,,,,,,,,,,,,,,,,,
17,,,3.675,0.600000594176792,,,,,,,,,,,,,,,,,,,,,
18,,,4.0125,0.600000772429829,,,,,,,,,,,,,,,,,,,,,
19,,,4.51875,0.600001004158778,,,,,,,,,,,,,,,,,,,,,
20,,,5.278125,0.600001305406411,,,,,,,,,,,,,,,,,,,,,
21,,,6.4171875,0.600001697028335,,,,,,,,,,,,,,,,,,,,,
22,,,8.12578125,0.600002206136835,,,,,,,,,,,,,,,,,,,,,
23,,,10.688671875,0.600002867977885,,,,,,,,,,,,,,,,,,,,,
24,,,14.5330078125,0.600003728371251,,,,,,,,,,,,,,,,,,,,,
25,,,20.29951171875,0.600004846882626,,,,,,,,,,,,,,,,,,,,,
26,,,28.949267578125,0.600006300947414,,,,,,,,,,,,,,,,,,,,,
27,,,41.9239013671875,0.600008191231639,,,,,,,,,,,,,,,,,,,,,
28,,,61.3858520507812,0.60001064860113,,,,,,,,,,,,,,,,,,,,,
29,,,90.5787780761719,0.600013843181469,,,,,,,,,,,,,,,,,,,,,
30,,,100,0.60001799613591,,,,,,,,,,,,,,,,,,,,,
31,,,,0.600023394976683,,,,,,,,,,,,,,,,,,,,,
32,,,,0.600030413469688,,,,,,,,,,,,,,,,,,,,,
33,,,,0.600039537510594,,,,,,,,,,,,,,,,,,,,,
34,,,,0.600051398763772,,,,,,,,,,,,,,,,,,,,,
35,,,,0.600066818392903,,,,,,,,,,,,,,,,,,,,,
36,,,,0.600086863910775,,,,,,,,,,,,,,,,,,,,,
37,,,,0.600112923084007,,,,,,,,,,,,,,,,,,,,,
38,,,,0.600146800009209,,,,,,,,,,,,,,,,,,,,,
39,,,,0.600190840011972,,,,,,,,,,,,,,,,,,,,,
40,,,,0.600248092015563,,,,,,,,,,,,,,,,,,,,,
41,,,,0.600322519620232,,,,,,,,,,,,,,,,,,,,,
42,,,,0.600419275506302,,,,,,,,,,,,,,,,,,,,,
43,,,,0.600545058158192,,,,,,,,,,,,,,,,,,,,,
44,,,,0.60070857560565,,,,,,,,,,,,,,,,,,,,,
45,,,,0.600921148287345,,,,,,,,,,,,,,,,,,,,,
46,,,,0.601197492773549,,,,,,,,,,,,,,,,,,,,,
47,,,,0.601556740605613,,,,,,,,,,,,,,,,,,,,,
48,,,,0.602023762787297,,,,,,,,,,,,,,,,,,,,,
49,,,,0.602630891623487,,,,,,,,,,,,,,,,,,,,,
50,,,,0.603420159110533,,,,,,,,,,,,,,,,,,,,,
51,,,,0.604446206843692,,,,,,,,,,,,,,,,,,,,,
52,,,,0.6057800688968,,,,,,,,,,,,,,,,,,,,,
53,,,,0.60751408956584,,,,,,,,,,,,,,,,,,,,,
54,,,,0.609768316435592,,,,,,,,,,,,,,,,,,,,,
55,,,,0.61269881136627,,,,,,,,,,,,,,,,,,,,,
56,,,,0.616508454776151,,,,,,,,,,,,,,,,,,,,,
57,,,,0.621460991208996,,,,,,,,,,,,,,,,,,,,,
58,,,,0.627899288571695,,,,,,,,,,,,,,,,,,,,,
59,,,,0.636269075143203,,,,,,,,,,,,,,,,,,,,,
60,,,,0.647149797686164,,,,,,,,,,,,,,,,,,,,,
61,,,,0.661294736992013,,,,,,,,,,,,,,,,,,,,,
62,,,,0.679683158089617,,,,,,,,,,,,,,,,,,,,,
63,,,,0.703588105516502,,,,,,,,,,,,,,,,,,,,,
64,,,,0.734664537171452,,,,,,,,,,,,,,,,,,,,,
65,,,,0.775063898322888,,,,,,,,,,,,,,,,,,,,,
66,,,,0.827583067819754,,,,,,,,,,,,,,,,,,,,,
67,,,,0.89585798816568,,,,,,,,,,,,,,,,,,,,,
68,,,,0.984615384615385,,,,,,,,,,,,,,,,,,,,,
69,,,,1.1,,,,,,,,,,,,,,,,,,,,,
70,,,,1.25,,,,,,,,,,,,,,,,,,,,,
71,,,,1.445,,,,,,,,,,,,,,,,,,,,,
72,,,,1.6985,,,,,,,,,,,,,,,,,,,,,
73,,,,2.02805,,,,,,,,,,,,,,,,,,,,,
74,,,,2.456465,,,,,,,,,,,,,,,,,,,,,
75,,,,3.0134045,,,,,,,,,,,,,,,,,,,,,
76,,,,3.73742585,,,,,,,,,,,,,,,,,,,,,
77,,,,4.678653605,,,,,,,,,,,,,,,,,,,,,
78,,,,5.9022496865,,,,,,,,,,,,,,,,,,,,,
79,,,,7.49292459245,,,,,,,,,,,,,,,,,,,,,
80,,,,9.560801970185,,,,,,,,,,,,,,,,,,,,,
81,,,,12.2490425612405,,,,,,,,,,,,,,,,,,,,,
82,,,,15.7437553296127,,,,,,,,,,,,,,,,,,,,,
83,,,,20.2868819284965,,,,,,,,,,,,,,,,,,,,,
84,,,,26.1929465070454,,,,,,,,,,,,,,,,,,,,,
85,,,,33.870830459159,,,,,,,,,,,,,,,,,,,,,
86,,,,43.8520795969067,,,,,,,,,,,,,,,,,,,,,
87,,,,56.8277034759787,,,,,,,,,,,,,,,,,,,,,
88,,,,73.6960145187724,,,,,,,,,,,,,,,,,,,,,
89,,,,95.6248188744041,,,,,,,,,,,,,,,,,,,,,
90,,,,100,,,,,,,,,,,,,,,,,,,,,
